original,translate
Pick 1 new Earth Magic School 1 spell to learn,选择1个新的土元素魔法学派1级法术学习
Pick 2 new Earth Magic School 1 spells to learn,选择2个新的土元素魔法学派1级法术学习
Pick 1 new Earth Magic School 2 spell to learn,选择1个新的土元素魔法学派2级法术学习
Pick 2 new Earth Magic School 2 spells to learn,选择2个新的土元素魔法学派2级法术学习
Pick 1 new Earth Magic School 3 spell to learn,选择1个新的土元素魔法学派3级法术学习
Pick 2 new Earth Magic School 3 spells to learn,选择2个新的土元素魔法学派3级法术学习
Pick 1 new Earth Magic School 4 spell to learn,选择1个新的土元素魔法学派4级法术学习
Pick 2 new Earth Magic School 4 spells to learn,选择2个新的土元素魔法学派4级法术学习
Pick 1 new Fire Magic School 1 spell to learn,选择1个新的火元素魔法学派1级法术学习
Pick 2 new Fire Magic School 1 spells to learn,选择2个新的火元素魔法学派1级法术学习
Pick 1 new Fire Magic School 2 spell to learn,选择1个新的火系法术2级来学习
Pick 2 new Fire Magic School 2 spells to learn,选择2个新的火系法术2级来学习
Pick 1 new Fire Magic School 3 spell to learn,选择1个新的火系法术3级来学习
Pick 2 new Fire Magic School 3 spells to learn,选择2个新的火系法术3级来学习
Pick 1 new Fire Magic School 4 spell to learn,选择1个新的火系法术4级来学习
Pick 2 new Fire Magic School 4 spells to learn,选择2个新的火系法术4级来学习
#Console,#控制台
Press TAB to exit or ESC to clear console,按TAB键退出或按ESC键清除控制台
Some helpful commands,一些有用的命令
heals the party fully - adds 1000 gold. - Wins any combat,治愈整个队伍 - 增加1000金币 - 任何战斗胜利
#Vendor UI,#商贩界面
Buy,购买
Steal,偷窃
Vendor wants,商贩想要
Sell mult,批量出售
Buy mult,批量购买
Suspicion,疑惑度
Restocks in 5 days,5天后补货
Restocks in 4 days,4天后补货
Restocks in 3 days,3天后补货
Restocks in 2 days,2天后补货
Restocks in 1 days,1天后补货
Sell,出售
Sell Stack,出售一组
Vendor will pay you,商人将支付你
for this,这些
Sold for,出售获得
Sold {ITEM},出售 {VALUE}
This item cannot be used like this,不能这样使用此物品
This item can't be traded,不能交易此物品
This item cannot be sold,不能出售此物品
This merchant will not buy stolen goods,该商人不收购赃物
This item is not for sale,该物品不能出售
"Gold, equipped items and quest items cannot be traded",金币、装备物品和任务物品不能交易
Purchased {ITEM},购买 {VALUE}
You cannot afford this item,你买不起这件物品
Trying to steal {ITEM} from merchant,尝试从商人那里偷取 {ITEM}
{PLAYER} stole {ITEM},{PLAYER} 偷取了 {PLAYER}
Vendor's Suspicion increased by,商人的怀疑增加 {VALUE}
Failed to steal item!,偷取物品失败！
This merchant no longer trusts you and refuses to trade,这位商人不再信任你，拒绝交易
Try again later,请稍后再试
Vendor cannot afford this item,商人负担不起这件物品
Gold remaining - Item is worth,剩余金币 - 物品价值
#Combat stuff,#战斗相关
Select a Spell to cast,选择一个法术施放
Select Ability!,选择能力！
Targets all allies,针对所有盟友
Click anywhere to use ability!,任意点击使用能力！
Select a target for your Ability!,选择你的能力目标！
Select a target to use ability!,选择使用能力的目标！
Select a target for your SPELL!,选择你的法术的目标！
Backstab!,背刺！
Critical Backstab!!!,背刺暴击！！！
Targets all enemies,针对所有敌人
Targets all allies,Targets all allies
Click anywhere to use ability!,Click anywhere to use ability!
Select a target for your Maneuver!,选择你的动作目标！
Characters cannot hold actions once they have begun acting,角色一旦开始行动便无法再持有动作
#Ending Cutscene,#结尾场景
was a year of little note for the Empire,对帝国来说，这一年没有什么值得一提的事情
Peace and stability reigned,和平与稳定盛行
With one exception,除了一个例外
The Outer Isles were lost,外岛失陷了
The event is extensively documented,该事件被广泛记录
The catastrophe was wholly natural albeit tragic,这场灾难虽然悲惨，但完全是自然原因
The volcano Kataban awoke after millennia of dormancy,千年沉睡的火山卡塔班苏醒了
It is written that the plume of smoke could be seen from the mainland,据记载，烟柱从大陆上也能看到
But there were other rumors as well,但也有一些其他的传言
Sailors claim they saw a new star in the sky the night of Karaban’s eruption,水手们声称在卡拉班爆发的夜晚看到了一颗新星
Such rumors are naught but lies,这些传言不过是谎言
#Ending Screen,#结束画面
"Let it be known that after much toil and hardship, {PLAYER} joins the illustrious ranks of the most holy order of the Persevering Blade",众所周知，在经历了无数辛劳和困苦后，{PLAYER}加入了坚忍之刃最神圣的行列
To be one of us is to have spat in the face of Death and Despair,成为我们中的一员，就是向死亡和绝望的挑战
It is to be one who forges ahead where lesser souls stand trembling,成为我们中的一员，就是向更弱小的灵魂所站立的颤抖之地迈进
"Now, onward to glory!",现在，向着荣耀前进吧！
You completed the game as a level {LEVEL?} {CLASS?} in {DAYS?} days,你以等级{VALUE}的{CLASS}完成了游戏，在{VALUE}天内
Report thine feat on Twitter to (a)SkaldRPG!,在推特上报告你的成就，@SkaldRPG！
AL,AL
